id,clinic,title,serviceNum,goodRate,peerRec,patientLike,background,goodat
clinic_web_6908f6f5f8559a8a,2,0,0.023507968136377202,0.36765324261963644,-0.434177641010298,-0.3054863145581097,宜春学院，本科毕业，学士学位,神经系统疾病
cf3c9aee7ddc649f6093,1,1,-0.5269346953993691,0.5859346882102437,-0.434177641010298,-0.500366523153574,普通高校五年制医学教育。中南大学湘雅二医院口腔颌面外科住院医师,口腔颌面部肿瘤，牙龈炎，牙周炎，口腔黏膜病，各类牙髓炎。
ac76b6d0eac96a532823,12,1,-0.36759269507796005,-0.5054725397427772,-0.434177641010298,-0.40142734032818445,本科就读于新乡医学院，研究生就读于大理大学。,男科（阳痿早泄、精索静脉曲张、包皮过长、包茎、阴茎短小、精囊炎、前列腺炎、前列腺增生、男性不孕、龟头炎、泌尿道感染）及泌尿系结石（肾输尿管结石并积水和感染、膀胱结石）。
clinic_web_d2db3229b361d636,2,0,1.6579830871390457,-0.5418527806745476,-0.434177641010298,0.3541082376111543,贵阳医学院2004-2009,消化性溃疡、肝硬化、肠病、肺炎、高血压、骨折、胰腺炎、精神分裂症，慢性支气管炎，慢性阻塞性肺疾病，支气管哮喘等
clinic_web_d3b223964d25890b,3,0,-0.4304425019641779,-0.178050371356874,0.7466539735555718,-0.42841075382601795,2009年7月毕业于赣南医学院临床医学；2012年6月毕业于广西医科大学肿瘤学专业；2018年在中山大学附属肿瘤医院放疗科进修一年，获得优秀进修生称号！,头颈胸部恶性肿瘤诊治以及常见肿瘤的健康咨询比如鼻咽癌、喉癌、舌癌、口腔癌、肺癌、食管癌、乳腺癌、骨转移瘤等。
1ad491926f6f809b10b0,5,1,-0.5529742827282356,0.513174206346708,-0.434177641010298,-0.5303480937067224,研究生学历，医学硕士，擅长四肢及脊柱损伤，膝关节损伤,运动医学及创伤骨科，擅长四肢及脊柱骨折的诊治及术后指导，如颈肩腰腿痛，膝关节损伤，如半月板损伤及关节炎等
clinic_web_c9a0f573b3ec30e6,6,0,-0.3608768891001989,0.44041372448317223,-0.434177641010298,-0.2874973722262207,2002年9月-2007年6月新疆医科大学中医学院本科学习2006年6月-2009年4月新疆医科大学附属中医医院规范化培训2009年4月-至今荆州市中医医院心内科住院医师，主治医师。2018年3月-2018年9月华中科技大学附属同济医院医学重症监护科进修学习,老年病，糖尿病，慢性呼吸系统疾病，高血压，冠心病，心功能不全，心律失常等心血管疾病的中西医的健康指导及用药。帮您解答你所困惑的检查报告，推荐建议需要完善的检查或介绍上级医院的医生和专科。。
59577794ea518fe21628,5,0,0.22453865084803962,0.6950754110055448,-0.434177641010298,0.12624830140722673,就读于河北医科大学医学临床学习，毕业后一直从事临床诊疗工作。,四肢骨折治疗及康复训练颈肩腰背痛疼治疗运动医学韧带损伤治疗。骨关节炎及外科疾病和康复治疗。
clinic_web_cf2d570973c41624,8,0,3.98355265524944,0.44041372448317223,-0.434177641010298,2.8605675358543574,主治医师，西安交通大学硕士研究生毕业,皮肤科常见病诊断及治疗，如皮炎，湿疹，荨麻疹，痤疮（青春痘），牛皮癣，白癜风，手足癣，疣，痣，性病，等，皮肤病理报告的解读及皮肤肿瘤的诊治。
1db01b2196f5518cdcc8,12,0,-0.12328941347185533,-0.9420354309239866,0.7466539735555718,-0.24252501639649812,兰州大学硕士研究生毕业，三级甲等医院泌尿外科工作，一直从事泌尿外科以及男性生殖系统工作！,泌尿外科常见病多发病。泌尿系统结石，肿瘤，前列腺增生，前列腺炎，包皮过长包茎，泌尿系统感染性疾病。性功能障碍等。
bb895d6985447292d180,0,0,0.2344222898341787,-0.10528988949333822,-5.157504099273777,0.7468668118573978,1981年本人毕业于湖北省洪湖市卫生学院，大专学历，1990年至1991年广东省茂名市人民医院进修二年。,前列腺炎，前列腺增生，睾丸炎附睾炎，精囊炎，丶不孕不育，性功能减退（阳瘘、早泄）、男女各类性病（如：支原体衣原体感染、淋病、梅毒、生殖器疱疹、尖锐湿疣等），包皮过长，包皮炎龟头炎。
clinic_web_cbe362ce513b94b1,4,0,2.5916068313681846,-1.2330773583781243,-1.6150092555761677,1.8351978229366834,医学博士，毕业于中国医科大学,妇科炎症，妇科肿瘤，卵巢囊肿，功能失调性出血，妇科内分泌失调，多囊卵巢综合征，不孕不育，宫颈、子宫内膜病变
8a6840caa049118f2075,10,0,-0.3622707356238852,-0.3235713350839403,-0.434177641010298,-0.281501058115591,2008年就读于上海第二军医大学；2016年就读于北京解放军医学院耳鼻咽喉科学硕士研究生（301医院）；,耳鼻咽喉头颈外科的常见病的诊断与治疗，如耳聋、耳鸣，各类鼻炎、鼻窦炎，食道反流、咽炎等治疗，喉癌等诊断。
bb6fa4cdb650ded35d53,6,1,-0.3864729798078924,-2.0698228998087727,-0.434177641010298,-0.43440706793664763,本科毕业于湖北中医药大学，在校期间跟随国医大师梅国强弟子学习伤寒，研究生毕业于广西中医药大学，曾跟随广西中医药大学国医大师韦贵康教授学习,治疗男性阳痿，早泄，肾虚，不育，慢性前列腺炎等疾病；擅长用中医中药调理各方面疾病。
9fa367e6ad9d52f213cd,1,1,-0.4149201202231261,0.4767939654149427,-0.434177641010298,-0.464388638489796,硕士，在三甲专科口腔医院工作学习3年,擅长补牙，根管治疗，牙周治疗，溃疡和念珠菌感染，牙周炎，烤瓷冠，贴面，阻生牙拔除。
clinic_web_9690c510474610f4,3,0,-0.5427738604412586,0.6950754110055448,-0.434177641010298,-0.5183554654854631,肿瘤学硕士研究生毕业，高年资主治医师，临床经验丰富，理论知识扎实。,擅长常见恶性肿瘤的诊断与治疗，如肺癌、食管癌、乳腺癌、鼻咽癌、喉癌、脑胶质瘤、脑转移瘤、结直肠癌、前列腺癌、胸腺瘤与胸腺癌、胃癌等恶性肿瘤的根治性放疗、术后辅助放疗以及放化综合治疗。
clinic_web_aebae7b402099808,6,2,0.39021631718620453,0.622314929142009,0.7466539735555718,0.7168852413042495,毕业于辽宁中医药大学，中医内科研究生学历，副主任医师，现工作于锦州市中心医院。,1.中西医结合治疗冠心病心绞痛，脑血管病，失眠，胃十二指肠溃疡，胆囊炎，性功能障碍，前列腺炎等临床常见病多发病、疑难杂症。2.颈椎病、腰间盘突出和脑血管疾病引起的肢体偏瘫以及骨科术后的关节功能恢复。
566e602ac4dfea9520e9,11,1,-0.5653288314609094,0.6950754110055448,0.7466539735555718,-0.5333462507620372,哈尔滨医科大学外科学硕士,各种皮肤肿物，瘢痕，腋嗅，女性私密整形，植发，面部年轻化，男性乳房发育，隆胸，激光去痣
a41ce8435cc37bf2eb39,13,0,-0.5290254651848986,-1.5241192858322623,0.7466539735555718,-0.5303480937067224,2010年至2015年就读于华中科技大学同济医学院，2015年至2018年就读于复旦大学附属妇产科医院,妇产科常见病，围产期保健，产科合并症的诊治等
clinic_web_069d78ec11400e0d,7,0,0.24893096501254955,0.513174206346708,-0.434177641010298,0.07228147441155967,主治医师，在读博士，华中科技大学同济医学院儿少卫生与妇幼保健学专业本硕毕业,儿童生长发育，喂养，神经发育及心理行为问题筛查评估，矮小症，性早熟，儿科常见病的处理
